runner,gender,yard,start,split1,split2,split3,finish
293,M,37,0.3,5.15,25.15,46.85,52.08
293,M,38,0.3,5.08,23.57,44.67,49.57
293,M,39,0.03,5.18,22.9,46.62,51.02
293,M,40,0.03,5.37,25.12,48.02,53.05
293,M,41,0.05,5.2,27.5,50.12,55.37
293,M,42,0.08,6.3,29.55,52.75,57.95
293,M,43,0.08,8.32,,,
389,M,1,0.23,4.95,24.33,44.8,49.65
389,M,2,0.1,4.82,23.05,43.28,48.9
389,M,3,0.25,5.08,23.68,44.92,49.83
389,M,4,0.27,5.1,23.1,43.17,49.42
389,M,5,0.32,5,23.12,43.48,48.48
389,M,6,0.23,4.93,23.4,43.55,49.32
389,M,7,0.32,5.03,23.18,43.23,48.55
389,M,8,0.32,5.23,23.78,44.28,49.28
389,M,9,0.17,,23.97,44.42,49.75
389,M,10,0.18,5.47,24.68,45.7,50.9
389,M,11,0.28,6.97,26.53,48.17,53.17
389,M,12,0.32,,25.57,48.23,54.15
159,F,1,0.07,4.17,21,40.13,45
159,F,2,0.17,4.75,22.75,43.33,49.98
159,F,3,0.13,4.65,21.72,42.12,46.83
159,F,4,0.13,4.7,21.7,41.58,46.7
159,F,5,0.15,4.62,21.4,40.57,45.4
159,F,6,0.07,4.47,23.47,42.6,46.85
159,F,7,0.15,4.57,21.62,41.42,45.63
159,F,8,0.2,4.67,22.05,43.13,47.72
159,F,9,0.13,4.62,22.45,42.25,46.92
159,F,10,0.12,4.6,21.83,42.72,47.45
159,F,11,0.1,4.45,21.72,41.08,47.7
159,F,12,0.18,43.88,22.12,,48.42
159,F,13,0.15,42.55,22.22,,47.38
159,F,14,0.08,42.33,21.48,,47.25
159,F,15,0.15,41.28,22.08,,46.18
159,F,16,0.13,4.83,22.52,41.93,46.58
159,F,17,0.08,4.4,21.03,39.92,45
159,F,18,0.12,4.8,22.25,43.32,47.57
159,F,19,0.1,4.5,21.17,40.15,45.35
159,F,20,0.13,4.63,21.25,40.4,46.4
159,F,21,0.13,4.8,22.12,42.18,47.32
159,F,22,0.13,4.63,21.78,43.28,48.15
159,F,23,0.12,4.43,21.35,40.65,46.42
159,F,24,0.15,4.53,21.4,40.82,46.13
159,F,25,0.17,4.57,21.58,42.07,47.13
159,F,26,0.18,4.58,21.73,40.9,45.97
159,F,27,0.15,4.37,21.4,43.1,47.75
159,F,28,0.15,4.3,21.38,40.62,45.82
159,F,29,0.17,4.32,21.82,42.55,47.8
159,F,30,0.2,4.57,22.17,42.78,47.65
159,F,31,0.15,4.45,22.05,43.48,48.02
159,F,32,0.2,4.57,23.17,43.48,48.22
159,F,33,0.18,4.52,22.5,42.7,47.45
159,F,34,0.2,4.57,22.55,44.18,49.17
159,F,35,0.23,4.93,23.72,44.18,48.62
159,F,36,0.23,5.15,24.73,47.4,52.75
159,F,37,0.25,5.27,25.12,44.97,49.5
159,F,38,0.3,5.03,23.28,45.85,50.5
